question,answer
my account balance,You can check your account balance from home page or from profile page by entering your 4-digits password.
hello,"Hi, how can I assist you?"
this app supports dark mode,"yes, this app supports dark mode that you can switch it from ""Settings Page"". You can switch between ""dark mode"" and ""light mode""."
this app supports light mode,"yes, this app supports light mode that you can switch it from ""Settings Page"". You can switch between ""dark mode"" and ""light mode""."
does this app supports the dark mode,"yes, this app supports dark mode that you can switch it from ""Settings Page"". You can switch between ""dark mode"" and ""light mode""."
does this app supports the light mode,"yes, this app supports light mode that you can switch it from ""Settings Page"". You can switch between ""dark mode"" and ""light mode""."
what about dark mode ,"This app supports dark mode that you can switch it from ""Settings Page"". You can switch between ""dark mode"" and ""light mode""."
what about light mode,"This app supports light mode that you can switch it from ""Settings Page"". You can switch between ""dark mode"" and ""light mode""."
how can I enable the dark mode,"This app supports dark mode that you can switch it from ""Settings Page"". You can switch between ""dark mode"" and ""light mode""."
how can I enable the light mode,"This app supports light mode that you can switch it from ""Settings Page"". You can switch between ""dark mode"" and ""light mode""."
I need to call a technical supporter,You can call us through the hotline : (452)-869-8569
I want to call a technical supporter,You can call us through the hotline : (452)-869-8569
contact a technical supporter,You can call us through the hotline : (452)-869-8569
terms and conditions,"Terms & conditions to use this app:
- The user must take reasonable precautions to prevent unauthorized access to the application and their account information. The user must immediately report any unauthorized access or suspicious activity on their account.
- The user is responsible for maintaining the confidentiality of their login credentials, including their password, and for any actions taken using their account.
- The user is responsible for ensuring that all transactions initiated through the application are authorized and accurate.
- The user may be charged fees for certain transactions or services provided through the application.
- The user may apply for a loan through the application. The user must provide accurate and complete information when applying for a loan, and the financial institution reserves the right to reject any loan application that does not meet its underwriting criteria.
- The financial institution may issue certificates of deposit (CDs) or other similar financial instruments through the application. The user must provide accurate and complete information when opening a CD or other financial instrument.
- The interest rate on a certificate or other financial instrument may be fixed or variable, and may be subject to change at any time without notice."
security tips,"FNB would like to draw your attention to the following precautions:
1) Select a password that is difficult for others to guess.
2) Do not associate your password with anything personal such as birthdays, names,phone numbers.
3) Change your password regularly.
4) Access FNB mobile app from trusted device.
5) Please remember that FNB will never ask you to provide user ID, password, card details, personal information via email, phone or SMS."
security,"FNB would like to draw your attention to the following precautions:
1) Select a password that is difficult for others to guess.
2) Do not associate your password with anything personal such as birthdays, names,phone numbers.
3) Change your password regularly.
4) Access FNB mobile app from trusted device.
5) Please remember that FNB will never ask you to provide user ID, password, card details, personal information via email, phone or SMS."
